,Spot Checks,On Duty,Patrol,Standby,Traffic Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D6: 22:00~24:00,Number of Polices：1 ['Police Office1'],"Number of Polices：2 ['Police Office12', 'Police Office31']","Number of Polices：5 ['Police Office7', 'Police Office8', 'Police Office10', 'Police Office28', 'Police Office34']","Number of Polices：4 ['Police Office14', 'Police Office20', 'Police Office29', 'Police Office32']","Number of Polices：5 ['Police Office6', 'Police Office11', 'Police Office19', 'Police Office25', 'Police Office30']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D7: 00:00~02:00,Number of Polices：1 ['Police Office3'],"Number of Polices：5 ['Police Office5', 'Police Office18', 'Police Office22', 'Police Office26', 'Police Office27']","Number of Polices：3 ['Police Office17', 'Police Office33', 'Police Office35']","Number of Polices：3 ['Police Office16', 'Police Office21', 'Police Office24']","Number of Polices：3 ['Police Office4', 'Police Office9', 'Police Office23']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D7: 02:00~04:00,Number of Polices：1 ['Police Office19'],"Number of Polices：3 ['Police Office4', 'Police Office22', 'Police Office28']","Number of Polices：7 ['Police Office3', 'Police Office5', 'Police Office6', 'Police Office7', 'Police Office31', 'Police Office32', 'Police Office33']","Number of Polices：10 ['Police Office9', 'Police Office16', 'Police Office17', 'Police Office18', 'Police Office20', 'Police Office23', 'Police Office24', 'Police Office26', 'Police Office29', 'Police Office35']","Number of Polices：3 ['Police Office11', 'Police Office21', 'Police Office27']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D7: 04:00~06:00,Number of Polices：1 ['Police Office32'],"Number of Polices：2 ['Police Office7', 'Police Office20']","Number of Polices：2 ['Police Office19', 'Police Office29']","Number of Polices：2 ['Police Office6', 'Police Office11']","Number of Polices：2 ['Police Office28', 'Police Office31']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D7: 06:00~08:00,Number of Polices：1 ['Police Office9'],"Number of Polices：2 ['Police Office16', 'Police Office26']","Number of Polices：2 ['Police Office21', 'Police Office24']","Number of Polices：2 ['Police Office4', 'Police Office35']","Number of Polices：2 ['Police Office5', 'Police Office23']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D7: 08:00~10:00,Number of Polices：1 ['Police Office21'],"Number of Polices：3 ['Police Office11', 'Police Office23', 'Police Office34']","Number of Polices：2 ['Police Office6', 'Police Office20']","Number of Polices：2 ['Police Office5', 'Police Office9']","Number of Polices：4 ['Police Office24', 'Police Office28', 'Police Office29', 'Police Office31']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D7: 10:00~12:00,Number of Polices：1 ['Police Office16'],"Number of Polices：2 ['Police Office4', 'Police Office31']","Number of Polices：2 ['Police Office28', 'Police Office34']","Number of Polices：2 ['Police Office20', 'Police Office29']","Number of Polices：2 ['Police Office6', 'Police Office11']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D7: 12:00~14:00,Number of Polices：1 ['Police Office33'],"Number of Polices：2 ['Police Office9', 'Police Office18']","Number of Polices：2 ['Police Office3', 'Police Office23']","Number of Polices：2 ['Police Office4', 'Police Office27']","Number of Polices：3 ['Police Office16', 'Police Office17', 'Police Office24']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D7: 14:00~16:00,Number of Polices：1 ['Police Office27'],"Number of Polices：2 ['Police Office9', 'Police Office32']","Number of Polices：2 ['Police Office23', 'Police Office24']","Number of Polices：3 ['Police Office17', 'Police Office19', 'Police Office33']","Number of Polices：3 ['Police Office7', 'Police Office22', 'Police Office34']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D7: 16:00~18:00,Number of Polices：1 ['Police Office35'],"Number of Polices：2 ['Police Office3', 'Police Office7']","Number of Polices：2 ['Police Office18', 'Police Office32']","Number of Polices：2 ['Police Office19', 'Police Office34']","Number of Polices：2 ['Police Office22', 'Police Office26']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D7: 18:00~20:00,Number of Polices：1 ['Police Office17'],"Number of Polices：2 ['Police Office21', 'Police Office33']","Number of Polices：2 ['Police Office18', 'Police Office35']","Number of Polices：2 ['Police Office3', 'Police Office27']","Number of Polices：2 ['Police Office5', 'Police Office26']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D7: 20:00~22:00,Number of Polices：1 ['Police Office19'],"Number of Polices：2 ['Police Office20', 'Police Office31']","Number of Polices：2 ['Police Office11', 'Police Office22']","Number of Polices：4 ['Police Office7', 'Police Office21', 'Police Office28', 'Police Office32']","Number of Polices：3 ['Police Office6', 'Police Office29', 'Police Office34']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
D7: 22:00~24:00,Number of Polices：1 ['Police Office3'],"Number of Polices：8 ['Police Office5', 'Police Office6', 'Police Office11', 'Police Office17', 'Police Office28', 'Police Office29', 'Police Office33', 'Police Office35']","Number of Polices：7 ['Police Office16', 'Police Office19', 'Police Office20', 'Police Office22', 'Police Office26', 'Police Office27', 'Police Office31']","Number of Polices：2 ['Police Office7', 'Police Office34']","Number of Polices：3 ['Police Office4', 'Police Office18', 'Police Office32']", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
